time,TempOut,WindSpeed,WindRun,SolarRad,SolarEnergy,HeatD-D,CoolD-D,OutHum,P_GEN
2014-06-10 02:30:00,15.7,0,0.0,0,0.0,0.055999999999999994,0.0,89,-0.005
2014-06-10 03:00:00,15.2,0,0.0,0,0.0,0.065,0.0,90,-0.005
2014-06-10 03:30:00,14.9,0,0.0,0,0.0,0.07200000000000001,0.0,90,-0.005
2014-06-10 04:00:00,14.4,0,0.0,0,0.0,0.081,0.0,89,-0.005
2014-06-10 04:30:00,14.2,0,0.0,0,0.0,0.087,0.0,90,-0.003
2014-06-10 05:00:00,14.1,0,0.0,11,0.47,0.08900000000000001,0.0,91,0.014
2014-06-10 05:30:00,14.1,0,0.0,23,0.99,0.08800000000000001,0.0,91,0.067
2014-06-10 06:00:00,14.4,0,0.0,34,1.46,0.08199999999999999,0.0,91,0.21600000000000005
2014-06-10 06:30:00,15.1,0,0.0,57,2.45,0.068,0.0,86,0.256
2014-06-10 07:00:00,16.0,0,0.0,56,2.41,0.049,0.0,77,0.284
2014-06-10 07:30:00,17.6,0,0.0,262,11.27,0.015,0.0,68,0.28600000000000003
2014-06-10 08:00:00,18.4,0,0.0,479,20.6,0.0,0.002,70,0.18
2014-06-10 08:30:00,19.0,1,0.5,407,17.5,0.0,0.013999999999999999,64,0.257
2014-06-10 09:00:00,19.5,1,0.5,407,17.5,0.0,0.024,62,0.153
2014-06-10 09:30:00,18.9,2,1.0,294,12.64,0.0,0.013000000000000001,66,0.133
2014-06-10 10:00:00,19.6,1,0.5,323,13.89,0.0,0.025,61,0.313
2014-06-10 10:30:00,20.3,2,1.0,743,31.95,0.0,0.040999999999999995,58,0.359
2014-06-10 11:00:00,20.9,2,1.0,879,37.8,0.0,0.053,49,0.341
2014-06-10 11:30:00,21.3,2,1.0,909,39.09,0.0,0.061,44,0.311
2014-06-10 12:00:00,21.7,2,1.0,937,40.3,0.0,0.071,47,0.298
2014-06-10 12:30:00,21.9,2,1.0,973,41.84,0.0,0.07400000000000001,52,0.261
2014-06-10 13:00:00,21.9,3,1.5,906,38.96,0.0,0.075,53,0.16
2014-06-10 13:30:00,21.4,2,1.0,435,18.71,0.0,0.065,54,0.224
2014-06-10 14:00:00,22.0,3,1.5,920,39.57,0.0,0.076,47,0.181
2014-06-10 14:30:00,22.3,3,1.5,880,37.84,0.0,0.08199999999999999,44,0.126
2014-06-10 15:00:00,21.8,3,1.5,834,35.87,0.0,0.073,46,0.066
2014-06-10 15:30:00,21.3,3,1.5,776,33.37,0.0,0.063,49,0.016
2014-06-10 16:00:00,21.1,2,1.0,710,30.53,0.0,0.057,51,0.011
2014-06-10 16:30:00,20.1,4,2.0,638,27.44,0.0,0.037000000000000005,50,0.009000000000000001
2014-06-10 17:00:00,20.0,3,1.5,556,23.91,0.0,0.035,51,0.006999999999999999
2014-06-10 17:30:00,19.8,3,1.5,475,20.43,0.0,0.03,51,0.006
2014-06-10 18:00:00,19.2,3,1.5,395,16.99,0.0,0.019,55,0.005
2014-06-10 18:30:00,18.9,2,1.0,314,13.5,0.0,0.012,52,0.003
2014-06-10 19:00:00,18.1,3,1.5,217,9.33,0.005,0.0,56,0.0
2014-06-10 19:30:00,17.5,2,1.0,86,3.7,0.017,0.0,60,-0.002
2014-06-10 20:00:00,16.7,1,0.5,25,1.08,0.034,0.0,63,-0.005
2014-06-10 20:30:00,16.1,0,0.0,10,0.43,0.047,0.0,65,-0.005
2014-06-10 21:00:00,15.3,0,0.0,0,0.0,0.063,0.0,67,-0.005
2014-06-10 21:30:00,14.7,0,0.0,0,0.0,0.076,0.0,70,-0.005
2014-06-10 22:00:00,14.2,0,0.0,0,0.0,0.086,0.0,73,-0.005
2014-06-10 22:30:00,13.7,0,0.0,0,0.0,0.09699999999999999,0.0,80,-0.005
2014-06-10 23:00:00,13.1,1,0.5,0,0.0,0.109,0.0,84,-0.005
2014-06-10 23:30:00,12.9,1,0.5,0,0.0,0.11199999999999999,0.0,86,-0.005
2014-06-11 00:00:00,12.7,1,0.5,0,0.0,0.11800000000000001,0.0,87,-0.005
2014-06-11 00:30:00,12.3,1,0.5,0,0.0,0.125,0.0,89,-0.005
2014-06-11 01:00:00,11.7,0,0.0,0,0.0,0.138,0.0,90,-0.005
2014-06-11 01:30:00,11.4,0,0.0,0,0.0,0.14400000000000002,0.0,92,-0.005
2014-06-11 02:00:00,11.4,0,0.0,0,0.0,0.14400000000000002,0.0,92,-0.005
2014-06-11 02:30:00,11.6,0,0.0,0,0.0,0.141,0.0,92,-0.005
2014-06-11 03:00:00,11.1,0,0.0,0,0.0,0.15,0.0,92,-0.005
2014-06-11 03:30:00,11.2,0,0.0,0,0.0,0.149,0.0,93,-0.005
2014-06-11 04:00:00,11.2,0,0.0,0,0.0,0.149,0.0,92,-0.005
2014-06-11 04:30:00,11.1,0,0.0,5,0.22,0.15,0.0,92,0.003
2014-06-11 05:00:00,11.2,0,0.0,16,0.69,0.14800000000000002,0.0,92,0.02
2014-06-11 05:30:00,11.7,1,0.5,26,1.12,0.138,0.0,92,0.037000000000000005
2014-06-11 06:00:00,11.9,0,0.0,57,2.45,0.133,0.0,91,0.042
2014-06-11 06:30:00,12.1,1,0.5,104,4.47,0.131,0.0,91,0.093
2014-06-11 07:00:00,12.7,1,0.5,139,5.98,0.11800000000000001,0.0,89,0.276
2014-06-11 07:30:00,14.2,0,0.0,261,11.22,0.087,0.0,85,0.312
2014-06-11 08:00:00,15.1,1,0.5,481,20.69,0.067,0.0,80,0.325
2014-06-11 08:30:00,16.0,1,0.5,567,24.38,0.049,0.0,77,0.358
2014-06-11 09:00:00,17.0,1,0.5,595,25.59,0.027999999999999997,0.0,71,0.35
2014-06-11 09:30:00,18.4,1,0.5,733,31.52,0.0,0.001,64,0.34
2014-06-11 10:00:00,18.7,1,0.5,810,34.83,0.0,0.006999999999999999,61,0.29
2014-06-11 10:30:00,18.4,1,0.5,665,28.6,0.0,0.001,61,0.3720000000000001
2014-06-11 11:00:00,19.6,2,1.0,820,35.26,0.0,0.025,55,0.358
2014-06-11 11:30:00,20.6,2,1.0,991,42.62,0.0,0.046,52,0.16899999999999998
2014-06-11 12:00:00,19.2,2,1.0,485,20.86,0.0,0.019,56,0.14300000000000002
2014-06-11 12:30:00,20.2,1,0.5,624,26.84,0.0,0.038,51,0.139
2014-06-11 13:00:00,20.7,1,0.5,593,25.5,0.0,0.05,49,0.219
2014-06-11 13:30:00,20.4,2,1.0,556,23.91,0.0,0.044000000000000004,51,0.21600000000000005
2014-06-11 14:00:00,21.6,1,0.5,747,32.13,0.0,0.068,50,0.222
2014-06-11 14:30:00,21.6,2,1.0,921,39.61,0.0,0.068,55,0.157
2014-06-11 15:00:00,21.4,2,1.0,786,33.8,0.0,0.065,53,0.081
2014-06-11 15:30:00,20.5,1,0.5,223,9.59,0.0,0.045,60,0.07400000000000001
2014-06-11 16:00:00,20.9,1,0.5,363,15.61,0.0,0.054000000000000006,60,0.062
2014-06-11 16:30:00,20.9,2,1.0,527,22.66,0.0,0.054000000000000006,59,0.026
2014-06-11 17:00:00,20.5,2,1.0,366,15.74,0.0,0.045,62,0.027000000000000003
2014-06-11 17:30:00,21.0,1,0.5,356,15.31,0.0,0.055999999999999994,60,0.021
2014-06-11 18:00:00,20.2,1,0.5,268,11.53,0.0,0.038,63,0.014
2014-06-11 18:30:00,19.8,1,0.5,197,8.47,0.0,0.031,65,0.006
2014-06-11 19:00:00,19.0,1,0.5,96,4.13,0.0,0.013999999999999999,68,0.004
2014-06-11 19:30:00,18.7,0,0.0,64,2.75,0.0,0.006999999999999999,69,0.0
2014-06-11 20:00:00,18.2,0,0.0,35,1.51,0.002,0.0,71,-0.005
2014-06-11 20:30:00,17.6,0,0.0,8,0.34,0.016,0.0,74,-0.005
2014-06-11 21:00:00,16.9,0,0.0,0,0.0,0.028999999999999998,0.0,76,-0.005
2014-06-11 21:30:00,16.6,0,0.0,0,0.0,0.037000000000000005,0.0,77,-0.005
2014-06-11 22:00:00,16.1,0,0.0,0,0.0,0.046,0.0,79,-0.005
2014-06-11 22:30:00,15.7,0,0.0,0,0.0,0.054000000000000006,0.0,80,-0.005
2014-06-11 23:00:00,15.1,0,0.0,0,0.0,0.067,0.0,82,-0.005
2014-06-11 23:30:00,14.6,0,0.0,0,0.0,0.079,0.0,85,-0.005
2014-06-12 00:00:00,14.2,0,0.0,0,0.0,0.086,0.0,85,-0.005
2014-06-12 00:30:00,13.8,0,0.0,0,0.0,0.094,0.0,87,-0.005
2014-06-12 01:00:00,13.7,0,0.0,0,0.0,0.09699999999999999,0.0,88,-0.005
2014-06-12 01:30:00,13.2,0,0.0,0,0.0,0.10800000000000001,0.0,88,-0.005
2014-06-12 02:00:00,12.8,0,0.0,0,0.0,0.11599999999999999,0.0,89,-0.005
2014-06-12 02:30:00,12.3,0,0.0,0,0.0,0.125,0.0,91,-0.005
2014-06-12 03:00:00,12.0,0,0.0,0,0.0,0.132,0.0,91,-0.005
2014-06-12 03:30:00,11.8,0,0.0,0,0.0,0.135,0.0,91,-0.005
2014-06-12 04:00:00,11.9,0,0.0,0,0.0,0.133,0.0,92,-0.005
2014-06-12 04:30:00,11.9,0,0.0,4,0.17,0.133,0.0,91,0.001
2014-06-12 05:00:00,12.1,0,0.0,15,0.65,0.13,0.0,91,0.018000000000000002
2014-06-12 05:30:00,12.7,0,0.0,28,1.2,0.11800000000000001,0.0,90,0.08
2014-06-12 06:00:00,13.3,0,0.0,51,2.19,0.10400000000000001,0.0,88,0.161
2014-06-12 06:30:00,14.6,0,0.0,68,2.92,0.078,0.0,87,0.224
2014-06-12 07:00:00,15.8,0,0.0,80,3.44,0.053,0.0,79,0.28300000000000003
2014-06-12 07:30:00,17.6,0,0.0,261,11.22,0.016,0.0,72,0.272
2014-06-12 08:00:00,19.4,0,0.0,425,18.28,0.0,0.023,64,0.273
2014-06-12 08:30:00,20.3,0,0.0,463,19.91,0.0,0.042,58,0.28600000000000003
2014-06-12 09:00:00,21.0,0,0.0,544,23.4,0.0,0.055999999999999994,55,0.333
2014-06-12 09:30:00,22.0,0,0.0,750,32.25,0.0,0.076,52,0.099
2014-06-12 10:00:00,21.1,0,0.0,307,13.2,0.0,0.057,55,0.099
2014-06-12 10:30:00,20.1,0,0.0,239,10.28,0.0,0.036000000000000004,58,0.08900000000000001
2014-06-12 11:00:00,20.7,0,0.0,243,10.45,0.0,0.05,53,0.363
2014-06-12 11:30:00,22.3,1,0.5,1004,43.18,0.0,0.08199999999999999,47,0.119
2014-06-12 12:00:00,21.9,0,0.0,340,14.62,0.0,0.075,51,0.28600000000000003
2014-06-12 12:30:00,23.1,0,0.0,651,28.0,0.0,0.098,49,0.183
2014-06-12 13:00:00,23.2,0,0.0,452,19.44,0.0,0.10099999999999999,48,0.222
2014-06-12 13:30:00,24.1,1,0.5,866,37.24,0.0,0.11900000000000001,45,0.238
2014-06-12 14:00:00,23.7,2,1.0,805,34.62,0.0,0.111,44,0.212
2014-06-12 14:30:00,23.8,1,0.5,540,23.22,0.0,0.115,46,0.065
2014-06-12 15:00:00,23.8,0,0.0,441,18.97,0.0,0.113,46,0.045
2014-06-12 15:30:00,22.7,0,0.0,175,7.53,0.0,0.09,48,0.051
2014-06-12 16:00:00,22.8,3,1.5,590,25.37,0.0,0.094,52,0.038
2014-06-12 16:30:00,23.1,2,1.0,635,27.31,0.0,0.1,53,0.031
2014-06-12 17:00:00,22.9,2,1.0,460,19.78,0.0,0.095,53,0.017
2014-06-12 17:30:00,22.4,3,1.5,229,9.85,0.0,0.084,54,0.014
2014-06-12 18:00:00,21.9,3,1.5,356,15.31,0.0,0.075,54,0.009000000000000001
2014-06-12 18:30:00,21.4,3,1.5,275,11.83,0.0,0.065,54,0.005
2014-06-12 19:00:00,20.7,4,2.0,185,7.96,0.0,0.05,56,0.001
2014-06-12 19:30:00,20.3,2,1.0,79,3.4,0.0,0.040999999999999995,58,-0.002
2014-06-12 20:00:00,19.4,1,0.5,26,1.12,0.0,0.023,60,-0.005
2014-06-12 20:30:00,18.6,2,1.0,7,0.3,0.0,0.005,63,-0.005
2014-06-12 21:00:00,17.9,2,1.0,0,0.0,0.008,0.0,64,-0.005
2014-06-12 21:30:00,17.2,2,1.0,0,0.0,0.023,0.0,67,-0.005
2014-06-12 22:00:00,16.7,2,1.0,0,0.0,0.035,0.0,68,-0.005
2014-06-12 22:30:00,16.4,1,0.5,0,0.0,0.039,0.0,68,-0.005
2014-06-12 23:00:00,16.1,1,0.5,0,0.0,0.047,0.0,69,-0.005
2014-06-12 23:30:00,15.6,1,0.5,0,0.0,0.057999999999999996,0.0,71,-0.005
2014-06-13 00:00:00,14.9,0,0.0,0,0.0,0.07200000000000001,0.0,72,-0.005
2014-06-13 00:30:00,15.1,1,0.5,0,0.0,0.068,0.0,70,-0.005
2014-06-13 01:00:00,14.5,1,0.5,0,0.0,0.08,0.0,74,-0.005
2014-06-13 01:30:00,13.4,0,0.0,0,0.0,0.102,0.0,79,-0.005
2014-06-13 02:00:00,13.1,0,0.0,0,0.0,0.109,0.0,82,-0.005
2014-06-13 02:30:00,12.6,0,0.0,0,0.0,0.11900000000000001,0.0,83,-0.005
2014-06-13 03:00:00,12.1,0,0.0,0,0.0,0.13,0.0,85,-0.005
2014-06-13 03:30:00,12.6,0,0.0,0,0.0,0.12,0.0,83,-0.005
2014-06-13 04:00:00,11.9,0,0.0,0,0.0,0.133,0.0,85,-0.002
2014-06-13 05:00:00,12.8,0,0.0,0,0.0,0.11599999999999999,0.0,83,0.015
2014-06-13 05:30:00,12.3,0,0.0,4,0.17,0.125,0.0,84,0.078
2014-06-13 06:00:00,12.1,0,0.0,8,0.34,0.13,0.0,86,0.188
2014-06-13 06:30:00,13.4,0,0.0,72,3.1,0.10300000000000001,0.0,86,0.233
2014-06-13 07:00:00,15.2,0,0.0,69,2.97,0.065,0.0,83,0.263
2014-06-13 07:30:00,16.7,0,0.0,228,9.81,0.034,0.0,73,0.28800000000000003
2014-06-13 08:00:00,18.2,0,0.0,451,19.4,0.002,0.0,69,0.307
2014-06-13 08:30:00,19.3,0,0.0,529,22.75,0.0,0.021,66,0.32
2014-06-13 09:00:00,20.6,0,0.0,602,25.89,0.0,0.046,63,0.32299999999999995
2014-06-13 09:30:00,21.5,1,0.5,662,28.47,0.0,0.066,60,0.35
2014-06-13 10:00:00,22.3,0,0.0,684,29.42,0.0,0.083,57,0.14800000000000002
